Объединение;Товар;Категория 1;Категория 2;Физ.доступно, шт.;Заказано, шт.;Резерв, шт.;Кол-во SKU, шт.
;;;;504799;116101;14419;134
КЗН Пушкина;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;17;0;1;1
НСК Красный;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;29;0;0;1
НСК Красный;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;11;0;0;1
ЕКБ Пассаж;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;27;0;0;1
ЕКБ Пассаж;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;6;0;0;1
ЕКБ Пассаж;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;2;0;0;1
ЕКБ Большой;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;20;0;0;1
ЕКБ Большой;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;17;0;0;1
МСК Кунцево;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;7;0;0;1
МСК Кунцево;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;0;13;0;0
МСК Афимолл;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;26;0;0;1
САМ Коммунистическая;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;11;0;0;1
САМ Коммунистическая;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;11;0;0;1
РНД Горизонт;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;32;0;0;1
РНД Горизонт;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;6;0;1;1
ЧЛБ Сони Кривой;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;7;0;0;1
ЧЛБ Сони Кривой;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;0;13;0;0
КРК Планета;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;19;0;0;1
КРК Планета;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;7;0;0;1
УФА Планета магазин;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;13;0;0;1
УФА Планета магазин;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;Уход;Уход за лицом;7;0;0;1
